종목명,종목코드,소속,섹터,테마,AI수급점수,Quant점수,정성점수,정성보정치,점수모드,현재가,등락률,외인강도(%),연기금강도(%),투신강도(%),사모강도(%),외인연속,연기금연속,이격도(%),손바뀜(%),RSI,거래급증(%),거래대금(억),5일평균거래대금(억),20일평균거래대금(억),거래대금활력,추세상승,정배열,추세품질점수,MA5,MA10,MA20,음봉매집률,시가총액,PER,ROE,뉴스테마가점,뉴스톤계수,뉴스부정키워드수,V5공시점수,V5공시보정,V5공시위험,V5공시차단,V5공시사유,테마가점완화,눌림목가감,눌림목신호,점수변화(안정화),신호신뢰도,신호등급,신호레짐,종목체급,연기금5일강도(%),연기금10일강도(%),기관10일동행강도(%),수급흡수율,수급지속일수,외인5일강도(%),외인10일강도(%),투신5일강도(%),사모5일강도(%),외인5일매수일수,연기금5일매수일수,5일수익률,20일수익률,20일고점낙폭,20일전고점돌파율,수급품질점수,주도주점수,기관동행점수,체급별수급점수,핵심수급주체,핵심수급상태,체급별수급사유,시장대비5일(%p),시장대비20일(%p),V5주도성점수,V5주도성사유,V5진입상태,V5진입확인,V5진입품질,V5진입사유,V5종합점수,시장위험레버,진입유형,전략슬리브,스윙우선순위,진입코멘트,매도점검,V5추천상태,V5추천사유,매수후보
대한항공,3490,KOSPI,분류안됨,분류안됨,34.88,38,44.85,-2.06,상승장 (보수적 반영),31450.0,0.1592356687898144,3.0628129060122413,0.5693333387665409,0.2115343578271032,0.1156201744010146,2,3,106.7,4.4,68.4,145.6,1274.6,1023.1,865.2,1.18,True,True,100.0,30080.0,29715.0,29470.0,0.0,115805.10987261149,-42.64,7.28,0.0,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,0.6,대기,-3.14,65.82,High,RiskOn,대형,0.2318,0.3264,0.2387,0.8794,3,0.5871,1.3544,0.0877,0.044,3,4,8.261617900172125,11.722912966252231,0.0,0.15923566878981443,52.29,94.41,23.54,81.4,외국인,유지,"대형주 핵심 외국인, 외국인 88, 연기금 91, 투신·사모 66, 지속성 60",8.04,12.86,93.93,"시장대비 5일 +8.0%p·20일 +12.9%p, 거래대금 상위 87%, 추세 100",돌파확인,True,95.0,"돌파확인: 20일 +11.7%, 고점대비 +0.0%, MA20 이격 +6.7%, 거래대금 1.18배",83.24,RiskOn,주도눌림,주도대형,64.24,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,추천,외국인 수급 81.4 · 주도성 93.9 · 돌파확인 · 공시 중립,신규후보
후성,93370,KOSPI,분류안됨,2차전지;전해질,42.72,47,47.09,-1.16,상승장 (보수적 반영),13950.0,2.5735294117646967,-0.7486719703235833,0.7804682958618444,-0.2435561323741969,-0.4419398537901765,1,1,103.8,20.8,55.1,184.8,1016.5,622.5,486.5,1.28,True,True,100.0,14188.0,14091.0,13441.0,0.0908,14961.374999999998,38.94,1.61,0.0,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,1.1,대기,8.0,55.13,High,RiskOn,중형,-0.0111,0.5194,-0.304,-0.3943,0,0.286,-0.7948,-0.715,-0.699,2,2,-3.991741225051615,12.228479485116651,-5.806887238352465,-5.806887238352465,8.0,77.52,8.46,38.36,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 81, 투신·사모 0, 지속성 40",-4.21,13.37,52.6,"시장대비 5일 -4.2%p·20일 +13.4%p, 거래대금 상위 77%, 추세 100",눌림대기,False,83.33,"눌림대기: 20일 +12.2%, 고점대비 -5.8%, MA20 이격 +3.8%, 거래대금 1.28배",47.88,RiskOn,돌파,수급스윙,50.77,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 거래량 동반 돌파,보유/관찰,관찰,연기금 수급 38.4 · 주도성 52.6 · 눌림대기 · 공시 중립,신규후보
HPSP,403870,KOSDAQ,분류안됨,반도체장비;고압어닐링,76.14,73,54.09,1.64,상승장 (보수적 반영),55500.0,2.20994475138121,0.2194842140099283,0.4264194292197675,3.059105094275264,0.1205865538363282,1,2,105.3,7.2,65.0,106.9,698.9,657.5,1057.3,0.62,True,True,100.0,54300.0,53780.0,52730.0,0.9004,45675.580110497234,53.93,24.79,2.212,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,1.7,관심,0.46,49.46,High,RiskOn,대형,0.0007,0.0752,2.5668,0.0757,4,0.2086,-1.7889,0.0602,0.01,3,3,3.93258426966292,14.432989690721643,-0.8928571428571397,-0.8928571428571397,12.23,87.3,18.35,0.0,외국인,미확인,"대형주 핵심 외국인, 외국인 0, 연기금 30, 투신·사모 55, 지속성 60",3.71,15.57,87.55,"시장대비 5일 +3.7%p·20일 +15.6%p, 거래대금 상위 91%, 추세 100",돌파대기,False,40.0,"돌파대기: 20일 +14.4%, 고점대비 -0.9%, MA20 이격 +5.3%, 거래대금 0.62배",37.05,RiskOn,관찰,관찰,75.13,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행,보유/관찰,제외,외국인 수급 0.0 · 주도성 87.5 · 돌파대기 · 공시 중립,관찰
한미약품,128940,KOSPI,분류안됨,분류안됨,33.88,38,46.67,-1.33,상승장 (보수적 반영),520000.0,3.585657370517925,-0.4931204460177287,0.6858806855329213,0.7924763438902067,0.6590871306260564,2,11,106.0,3.9,55.0,117.6,648.2,513.8,639.5,0.8,True,True,100.0,509000.0,496300.0,490475.0,0.1875,66616.97211155378,0.0,0.0,0.0,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,1.1,대기,2.08,47.63,High,RiskOn,중형,0.2271,0.6832,2.2516,0.6403,4,-0.3027,-0.9382,0.2334,0.3055,2,5,3.585657370517925,-1.8867924528301883,0.0,-1.8867924528301883,51.07,92.01,35.0,72.22,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 97, 투신·사모 93, 지속성 100",3.37,-0.75,58.61,"시장대비 5일 +3.4%p·20일 -0.8%p, 거래대금 상위 82%, 추세 100",조건미충족,False,0.0,"조건미충족: 20일 -1.9%, 고점대비 +0.0%, MA20 이격 +6.0%, 거래대금 0.80배",52.68,RiskOn,눌림목,수급스윙,72.52,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,관찰,연기금 수급 72.2 · 주도성 58.6 · 조건미충족 · 공시 중립,관찰
리노공업,58470,KOSDAQ,분류안됨,분류안됨,51.13,56,52.41,0.96,상승장 (보수적 반영),74300.0,-0.9333333333333304,-3.088890829024521,0.2866720790053892,2.599501566388406,-0.1023800070000292,0,2,109.7,5.9,67.1,211.2,1089.5,662.6,484.7,1.37,True,True,100.0,71020.0,68610.0,67720.0,0.8682,56624.52533333334,28.11,22.45,0.0,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,0.6,대기,8.0,48.49,High,RiskOn,중형,0.2211,0.2566,2.5087,-0.1853,3,-1.0982,-3.2435,0.1064,0.0629,1,4,12.746585735963588,11.897590361445776,-0.9333333333333305,-0.9333333333333305,20.0,80.86,20.34,61.63,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 88, 투신·사모 73, 지속성 80",12.53,13.04,92.0,"시장대비 5일 +12.5%p·20일 +13.0%p, 거래대금 상위 76%, 추세 100",돌파대기,False,80.0,"돌파대기: 20일 +11.9%, 고점대비 -0.9%, MA20 이격 +9.7%, 거래대금 1.37배",72.17,RiskOn,돌파,수급스윙,66.28,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 거래량 동반 돌파,보유/관찰,관찰,연기금 수급 61.6 · 주도성 92.0 · 돌파대기 · 공시 중립,관찰
디아이,3160,KOSPI,분류안됨,분류안됨,60.04,65,46.81,-1.28,상승장 (보수적 반영),36800.0,5.747126436781613,0.5153540135604668,2.128563062462473,1.656949432570727,0.619336406531452,3,7,121.5,13.7,78.9,100.5,273.8,284.8,207.2,1.37,True,True,100.0,33920.0,32045.0,30280.0,0.2299,10413.977011494251,0.0,0.0,0.0,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,-0.4,대기,0.65,49.08,High,RiskOn,중형,0.9281,1.1356,1.9601,1.0958,3,1.4697,1.1691,0.3826,0.1347,3,5,17.19745222929936,48.38709677419355,0.0,3.9548022598870025,56.69,33.68,35.0,97.75,연기금,유지,"중형주 핵심 연기금, 외국인 97, 연기금 100, 투신·사모 92, 지속성 100",16.98,49.53,91.45,"시장대비 5일 +17.0%p·20일 +49.5%p, 거래대금 상위 57%, 추세 100",돌파대기,False,80.0,"돌파대기: 20일 +48.4%, 고점대비 +0.0%, MA20 이격 +21.5%, 거래대금 1.37배",87.68,RiskOn,과열주의,관찰,64.36,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,제외,연기금 수급 97.8 · 주도성 91.5 · 돌파대기 · 공시 중립,관찰
이오테크닉스,39030,KOSDAQ,분류안됨,분류안됨,47.58,41,51.57,0.63,상승장 (보수적 반영),480000.0,1.372756071805692,-2.500903181071749,0.7881376691884668,3.3791560588471223,-0.5778418764089367,1,4,108.7,3.1,64.1,88.4,340.1,363.0,529.7,0.69,True,True,100.0,470700.0,459650.0,441750.0,0.6033,59133.76979936641,51.66,8.9,0.0,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,0.0,대기,-8.0,49.74,High,RiskOn,중형,0.0881,0.2599,2.4509,0.0891,3,0.0279,-1.9273,0.0437,-0.0658,3,4,2.564102564102555,19.850187265917608,-0.8264462809917328,-0.8264462809917328,19.3,81.26,25.61,41.66,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 74, 투신·사모 0, 지속성 80",2.34,20.99,81.45,"시장대비 5일 +2.3%p·20일 +21.0%p, 거래대금 상위 78%, 추세 100",돌파대기,False,40.0,"돌파대기: 20일 +19.9%, 고점대비 -0.8%, MA20 이격 +8.7%, 거래대금 0.69배",53.41,RiskOn,관찰,관찰,63.77,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행,보유/관찰,관찰,연기금 수급 41.7 · 주도성 81.5 · 돌파대기 · 공시 중립,관찰
삼성E&A,28050,KOSPI,분류안됨,분류안됨,36.5,30,56.84,2.74,상승장 (보수적 반영),49350.0,-3.61328125,-0.4784303992721709,0.4325182014143043,0.3148776285590224,0.2272286634410603,0,9,100.3,6.5,46.1,93.8,1059.1,1261.3,870.9,1.45,True,True,100.0,51090.0,50895.0,49215.0,0.0704,96726.0,14.9,13.76,0.0,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,0.6,대기,-7.36,47.79,High,RiskOn,중형,0.1702,0.3446,0.5475,0.0484,3,-0.6056,-0.6232,0.1598,0.0164,0,5,-2.2772277227722793,2.2797927461139844,-5.09615384615385,-5.09615384615385,23.74,80.02,24.87,64.32,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 87, 투신·사모 74, 지속성 100",-2.5,3.42,53.25,"시장대비 5일 -2.5%p·20일 +3.4%p, 거래대금 상위 88%, 추세 100",조건미충족,False,0.0,"조건미충족: 20일 +2.3%, 고점대비 -5.1%, MA20 이격 +0.3%, 거래대금 1.45배",48.27,RiskOn,눌림목,수급스윙,63.51,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,관찰,연기금 수급 64.3 · 주도성 53.2 · 조건미충족 · 공시 중립,관찰
한미반도체,42700,KOSPI,분류안됨,분류안됨,38.38,39,51.57,0.63,상승장 (보수적 반영),242500.0,1.041666666666674,-0.7733669788787989,0.1209999478562308,2.077883699564818,-0.384207641266011,2,0,105.3,2.2,61.0,78.8,865.8,1001.7,1512.7,0.66,True,True,100.0,236100.0,233800.0,230225.0,0.0607,231131.8020833333,108.58,34.76,0.0,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,1.1,대기,-1.53,45.89,High,RiskOn,대형,0.0559,-0.0631,1.1761,0.2281,2,0.2574,-1.2975,0.0031,-0.0384,3,4,7.300884955752207,10.478359908883817,-4.150197628458496,-4.150197628458496,25.61,93.46,12.34,0.0,외국인,미확인,"대형주 핵심 외국인, 외국인 0, 연기금 23, 투신·사모 0, 지속성 60",7.08,11.62,91.29,"시장대비 5일 +7.1%p·20일 +11.6%p, 거래대금 상위 96%, 추세 100",눌림대기,False,83.33,"눌림대기: 20일 +10.5%, 고점대비 -4.2%, MA20 이격 +5.3%, 거래대금 0.66배",44.61,RiskOn,주도눌림,주도대형,56.6,대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,관찰,외국인 수급 0.0 · 주도성 91.3 · 눌림대기 · 공시 중립,관찰
한화시스템,272210,KOSPI,분류안됨,분류안됨,20.8,19,49.64,-0.14,상승장 (보수적 반영),74200.0,-4.134366925064603,-0.4228445745488655,0.2344950113950127,0.0926451420847008,-0.0864684214726268,0,6,102.0,3.1,45.6,94.0,688.2,865.5,399.7,2.17,True,True,100.0,77120.0,74240.0,72750.0,0.1317,140177.60465116278,73.58,6.6,0.0,0.35,3,50.0,0.0,중립,False,최근 중요 공시 신호 없음,0.0,0.0,대기,-4.54,44.36,Medium,RiskOn,대형,0.2517,0.2938,0.3223,0.3415,3,-0.387,-0.46,0.1215,-0.0824,1,5,7.848837209302317,1.089918256130784,-7.250000000000001,-7.250000000000001,44.6,80.81,23.24,6.68,외국인,미확인,"대형주 핵심 외국인, 외국인 0, 연기금 92, 투신·사모 39, 지속성 20",7.63,2.23,72.44,"시장대비 5일 +7.6%p·20일 +2.2%p, 거래대금 상위 73%, 추세 100",조건미충족,False,0.0,"조건미충족: 20일 +1.1%, 고점대비 -7.3%, MA20 이격 +2.0%, 거래대금 2.17배",28.32,RiskOn,눌림목,수급스윙,53.15,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,관찰,외국인 수급 6.7 · 주도성 72.4 · 조건미충족 · 공시 중립,관찰
